새로하기,New game,開始遊戱,开始游戏,일본어
이어하기,Continue,繼續遊戲,继续游戏,일본어
설정,Option,設置,设置,일본어
종료하기,Quit game,退出,退出,일본어
새 게임,Empty /slot,新建遊戲,新建游戏,일본어
스테이지,Stage,關卡,关卡,일본어
시작하려면 아무 버튼이나 클릭하세요,Click any button to get started,點擊任意鍵開始遊戲,点击任意键开始游戏,일본어
삭제,delete,刪除,刪除,일본어
메인 메뉴로 돌아가기,Return to Main Menu,返回主菜單,返回主菜单,일본어
모험 시작하기,Start the adventure,開始冒險,开始冒险,일본어
한 번 삭제한 세이브파일은 복구할 수 없습니다. 선택한 세이브 파일을 정말로 삭제하시겠습니까?,Save files once deleted cannot be recovered. /Are you sure you want to delete the selected save file?,存檔一旦刪除則無法恢復，確定要刪除選中的存檔文件嗎？,存档一旦删除则无法恢复，确定要删除选中的存档文件吗？,일본어
Q를 눌러 메뉴로 돌아가기 ,Press Q to return to the menu,按[Q]鍵返回菜單,按[Q]键返回菜单 ,일본어
심도,Depth,深度,深度,일본어
탐험 지도 펼쳐보기,Open the Map,打開探險地圖,打开探险地图,일본어
데모 버전에서 준비된 여정은 여기까지입니다 /곧 다음 층에서 만날 수 있길 기대합니다. ,This is the end of the journey in the demo version. /I look forward to meeting you on the next floor soon.,試玩版旅程到此結束。期待在不久的將來再次與您相見！,试玩版旅程到此结束。期待在不久的将来再次与您相见！,일본어
설정 저장하고 나가기 ,Save settings and return to the Menu,保存設置並退出,保存设置并退出,일본어
언어 설정 ,Language option,系統設置,系统设置,일본어
오디오 설정 ,Audio option,音頻設置,音频设置,일본어
언어 설정 ,Language setting,語言設置,语言设置,일본어
불러오기,Load Game,打開遊戲存檔,打开游戏存档,일본어
탐험가 상자를 확보했습니다. 영혼 비석에서 안전하게 보관할 수 있습니다.,Obtained the Explorer's chest. It can be safely stored in the Soul monument.,獲得探險家寶箱！可將寶箱存儲於靈魂石碑上,获得探险家宝箱！可将宝箱存储于灵魂石碑上,일본어
수집한 탐험가 상자를 영혼 비석에 보관했습니다. ,Stored the collected explorer's chests /in the Soul monument,成功將收集到的探險家寶箱存儲於靈魂石碑上,成功将收集到的探险家宝箱存储于灵魂石碑上,일본어
마스터 볼륨 ,Master Volume,主音量,主音量,일본어
음악 볼륨 ,Music Volume,音樂音量,音乐音量,일본어
효과음 볼륨,Effect Volume,音效音量,音效音量,일본어
ESC 키를 눌러 스킵할 수 있습니다. ,You can skip by pressing the ESC key.,你可以按[ESC]鍵跳過,你可以按[ESC]键跳过,일본어
혹시 알아? /순례길에 오르기 전# 탐험가들이 영혼 비석을 세우는 이유 말이야,Do you know? /Why do explorers put up a Soul monument# before going on a pilgrimage?,你知道嗎？在踏上朝聖之路之前#/探險家們豎立靈魂石碑的理由,你知道吗？在踏上朝圣之路之前# /探险家们竖立灵魂石碑的理由,일본어
죽음 이후에도 잊혀지고 싶지 않아서인가?,Is it because they don't want to be forgotten even after death?,難道是因爲不想在死後被遺忘嗎？,难道是因为不想在死后被遗忘吗？,일본어
얼마나 많은 무지한 자들이 목숨을 낭비했는지 /경고하기 위해서야,To warn how many ignorant people/have wasted their lives,有多少無知的人浪費了生命/爲了警告你,有多少无知的人浪费了生命/为了警告你,일본어
상단의 아이콘은 영혼 비석에서 /저장한 탐험가 상자를 의미합니다,The icon at the top represents /the Explorer's chest saved from the Soul monument,頂部的圖標是指在靈魂石碑上保存的探險家箱子,顶部的图标是指在灵魂石碑上保存的探险家箱子,일본어
하단의 아이콘은 수집했지만 /저장하지 않은 탐험가 상자를 의미합니다,The icon at the bottom represents an Explorer chest /that has been collected but not saved yet,下方的圖標是指收集但未保存的探險家箱子,下方的图标是指收集但未保存的探险家箱子,일본어
비어 있는 자리는 아직 발견하지 못 한 /탐험가 상자를 의미합니다,An empty spot represents an Explorer chest /that has not yet been discovered,空位表示尚未發現的/探險家箱子,空位表示尚未发现的/探险家箱子,일본어
